experiment,description,checkpoint,animation,emb_pearson,emb_spearman,emb_r2,geo_pearson,geo_spearman,geo_r2,dtw_pearson,dtw_spearman,dtw_r2
emb_baseline,AE embedding distances only  |  no trained model (floor baseline),,walking,0.4016,0.4313,0.1613,0.3783,0.3531,0.1431,0.3865,0.3982,0.1494
emb_baseline,AE embedding distances only  |  no trained model (floor baseline),,pointing,0.1982,0.1553,0.0393,0.2839,0.225,0.0806,0.1399,0.1422,0.0196
emb_baseline,AE embedding distances only  |  no trained model (floor baseline),,picking,0.3582,0.3724,0.1283,0.4684,0.4605,0.2194,0.2472,0.2889,0.0611
emb_vec_clustered,AE emb → MLP  |  rots_only  |  k-means neutral,0_final_embedding_model.pt,walking,0.4197,0.4478,0.1761,0.3339,0.3602,0.1115,0.4258,0.4783,0.1813
emb_vec_clustered,AE emb → MLP  |  rots_only  |  k-means neutral,0_final_embedding_model.pt,pointing,0.0907,0.1003,0.0082,0.3717,0.4111,0.1381,0.3027,0.3695,0.0917
emb_vec_clustered,AE emb → MLP  |  rots_only  |  k-means neutral,0_final_embedding_model.pt,picking,0.1864,0.1944,0.0347,0.4405,0.4629,0.194,0.3402,0.4313,0.1157
emb_vec_concat,AE emb → MLP  |  concat  |  base triplet loss,0_final_embedding_model.pt,walking,0.3978,0.46,0.1582,0.3339,0.3602,0.1115,0.4258,0.4783,0.1813
emb_vec_concat,AE emb → MLP  |  concat  |  base triplet loss,0_final_embedding_model.pt,pointing,0.2174,0.255,0.0473,0.3717,0.4111,0.1381,0.3027,0.3695,0.0917
emb_vec_concat,AE emb → MLP  |  concat  |  base triplet loss,0_final_embedding_model.pt,picking,0.3623,0.3889,0.1313,0.4405,0.4629,0.194,0.3402,0.4313,0.1157
emb_vec_percloss,AE emb → MLP (EmbeddingRefiningSimilarityNetwork)  |  perception loss,0_final_embedding_model.pt,walking,0.4371,0.5238,0.191,0.3339,0.3602,0.1115,0.4258,0.4783,0.1813
emb_vec_percloss,AE emb → MLP (EmbeddingRefiningSimilarityNetwork)  |  perception loss,0_final_embedding_model.pt,pointing,0.226,0.2723,0.0511,0.3717,0.4111,0.1381,0.3027,0.3695,0.0917
emb_vec_percloss,AE emb → MLP (EmbeddingRefiningSimilarityNetwork)  |  perception loss,0_final_embedding_model.pt,picking,0.3975,0.4323,0.158,0.4405,0.4629,0.194,0.3402,0.4313,0.1157
emb_vec_rots_only,AE emb → MLP  |  rots_only  |  base triplet loss,0_final_embedding_model.pt,walking,0.4089,0.4984,0.1672,0.3339,0.3602,0.1115,0.4258,0.4783,0.1813
emb_vec_rots_only,AE emb → MLP  |  rots_only  |  base triplet loss,0_final_embedding_model.pt,pointing,0.1946,0.2456,0.0379,0.3717,0.4111,0.1381,0.3027,0.3695,0.0917
emb_vec_rots_only,AE emb → MLP  |  rots_only  |  base triplet loss,0_final_embedding_model.pt,picking,0.5188,0.5141,0.2692,0.4405,0.4629,0.194,0.3402,0.4313,0.1157
raw_motion,Raw BVH → CNN  |  standard neutral  |  base triplet loss,0_similarity_model_weights_epoch_100.pt,walking,0.3854,0.3732,0.1486,0.3783,0.3531,0.1431,0.3989,0.4232,0.1591
raw_motion,Raw BVH → CNN  |  standard neutral  |  base triplet loss,0_similarity_model_weights_epoch_100.pt,pointing,0.2112,0.2072,0.0446,0.2839,0.225,0.0806,0.1058,0.1402,0.0112
raw_motion,Raw BVH → CNN  |  standard neutral  |  base triplet loss,0_similarity_model_weights_epoch_100.pt,picking,0.2603,0.2064,0.0677,0.4684,0.4605,0.2194,0.1981,0.2426,0.0392
raw_motion_clustered,Raw BVH → CNN  |  k-means neutral  |  base triplet loss,0_similarity_model_weights_epoch_100.pt,walking,0.4374,0.4189,0.1914,0.3783,0.3531,0.1431,0.3989,0.4232,0.1591
raw_motion_clustered,Raw BVH → CNN  |  k-means neutral  |  base triplet loss,0_similarity_model_weights_epoch_100.pt,pointing,0.2553,0.2149,0.0652,0.2839,0.225,0.0806,0.1058,0.1402,0.0112
raw_motion_clustered,Raw BVH → CNN  |  k-means neutral  |  base triplet loss,0_similarity_model_weights_epoch_100.pt,picking,0.3447,0.2838,0.1188,0.4684,0.4605,0.2194,0.1981,0.2426,0.0392
raw_motion_percloss,Raw BVH → CNN  |  standard neutral  |  perception-aligned loss,0_best_correlation_epoch_050.pt,walking,0.3758,0.3551,0.1412,0.3783,0.3531,0.1431,0.3989,0.4232,0.1591
raw_motion_percloss,Raw BVH → CNN  |  standard neutral  |  perception-aligned loss,0_best_correlation_epoch_050.pt,pointing,0.2311,0.2296,0.0534,0.2839,0.225,0.0806,0.1058,0.1402,0.0112
raw_motion_percloss,Raw BVH → CNN  |  standard neutral  |  perception-aligned loss,0_best_correlation_epoch_050.pt,picking,0.2995,0.2571,0.0897,0.4684,0.4605,0.2194,0.1981,0.2426,0.0392
