,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_1,alpha_1_0,alpha_0_2,alpha_2_0,alpha_1_2,alpha_2_1,direct_comparison_value,most_preferred_pair
0,"[(-1, -1, -1, 0), (-1, -1, 0, -1)]",0,1,5,0.5,0_1,0.4,0.09999999999999998,-0.4,-0.30000000000000004,-0.09999999999999998,0.30000000000000004,0.1,"(0, 1)"
1,"[(-1, -1, -1, 0), (-1, -1, 0, 0)]",1,2,11,0.733333333333333,1_2,0.1333333333333333,-0.533333333333333,-0.1333333333333333,-0.6666666666666663,0.533333333333333,0.6666666666666663,0.0666666666666667,"(1, 2)"
2,"[(-1, -1, -1, 0), (-1, -1, 0, 1)]",1,2,4,0.4,1_2,0.0,-0.10000000000000003,0.0,-0.10000000000000003,0.10000000000000003,0.10000000000000003,0.3,"(1, 2)"
3,"[(-1, -1, -1, 0), (-1, -1, 1, 0)]",1,2,9,0.818181818181818,1_2,0.181818181818182,-0.636363636363636,-0.181818181818182,-0.818181818181818,0.636363636363636,0.818181818181818,0.0,"(1, 2)"
4,"[(-1, -1, -1, 0), (-1, 0, -1, -1)]",0,1,7,0.7,0_1,0.39999999999999997,0.7,-0.39999999999999997,0.3,-0.7,-0.3,0.3,"(0, 1)"
5,"[(-1, -1, -1, 0), (-1, 0, -1, 0)]",0,2,6,0.6,0_2,-0.19999999999999996,0.4,0.19999999999999996,0.6,-0.4,-0.6,0.6,"(0, 2)"
6,"[(-1, -1, -1, 0), (-1, 0, -1, 1)]",0,2,9,0.818181818181818,0_2,-0.818181818181818,-0.181818181818182,0.818181818181818,0.636363636363636,0.181818181818182,-0.636363636363636,0.818181818181818,"(0, 2)"
7,"[(-1, -1, -1, 0), (-1, 0, 0, -1)]",0,1,6,0.6,0_1,0.5,0.3,-0.5,-0.19999999999999998,-0.3,0.19999999999999998,0.1,"(0, 1)"
8,"[(-1, -1, -1, 0), (-1, 0, 0, 1)]",1,2,9,0.6,1_2,-0.4,-0.6,0.4,-0.19999999999999996,0.6,0.19999999999999996,0.4,"(1, 2)"
9,"[(-1, -1, -1, 0), (-1, 0, 1, -1)]",0,1,6,0.6,0_1,0.39999999999999997,0.39999999999999997,-0.39999999999999997,0.0,-0.39999999999999997,0.0,0.2,"(0, 1)"
10,"[(-1, -1, -1, 0), (-1, 0, 1, 0)]",1,2,7,0.7,1_2,0.1,-0.49999999999999994,-0.1,-0.6,0.49999999999999994,0.6,0.1,"(1, 2)"
11,"[(-1, -1, -1, 0), (-1, 0, 1, 1)]",0,1,8,0.444444444444444,0_1,0.333333333333333,0.0,-0.333333333333333,-0.333333333333333,0.0,0.333333333333333,0.111111111111111,"(1, 2)"
12,"[(-1, -1, -1, 0), (-1, 1, -1, 0)]",0,2,7,0.7,0_2,-0.6,-0.1,0.6,0.49999999999999994,0.1,-0.49999999999999994,0.7,"(0, 2)"
13,"[(-1, -1, -1, 0), (-1, 1, 0, -1)]",0,1,4,0.4,0_1,0.10000000000000003,0.10000000000000003,-0.10000000000000003,0.0,-0.10000000000000003,0.0,0.3,"(0, 1)"
14,"[(-1, -1, -1, 0), (-1, 1, 0, 0)]",1,2,12,0.8,1_2,0.2,-0.6000000000000001,-0.2,-0.8,0.6000000000000001,0.8,0.0,"(1, 2)"
15,"[(-1, -1, -1, 0), (-1, 1, 0, 1)]",1,2,9,0.818181818181818,1_2,0.181818181818182,-0.636363636363636,-0.181818181818182,-0.818181818181818,0.636363636363636,0.818181818181818,0.0,"(1, 2)"
16,"[(-1, -1, -1, 0), (-1, 1, 1, 0)]",1,2,5,0.5,1_2,0.30000000000000004,-0.09999999999999998,-0.30000000000000004,-0.4,0.09999999999999998,0.4,0.1,"(1, 2)"
17,"[(-1, -1, -1, 0), (0, -1, -1, -1)]",0,1,7,0.7,0_1,0.49999999999999994,0.6,-0.49999999999999994,0.1,-0.6,-0.1,0.2,"(0, 1)"
18,"[(-1, -1, -1, 0), (0, -1, -1, 0)]",0,2,7,0.636363636363636,0_2,-0.45454545454545403,0.0,0.45454545454545403,0.45454545454545403,0.0,-0.45454545454545403,0.636363636363636,"(0, 2)"
19,"[(-1, -1, -1, 0), (0, -1, -1, 1)]",0,1,9,0.5,0_1,0.16666666666666702,0.33333333333333304,-0.16666666666666702,0.166666666666666,-0.33333333333333304,-0.166666666666666,0.333333333333333,"(0, 1)"
20,"[(-1, -1, -1, 0), (0, -1, 0, -1)]",0,1,8,0.727272727272727,0_1,0.636363636363636,0.545454545454545,-0.636363636363636,-0.09090909090909109,-0.545454545454545,0.09090909090909109,0.0909090909090909,"(0, 1)"
21,"[(-1, -1, -1, 0), (0, -1, 0, 1)]",1,2,9,0.9,1_2,0.1,-0.8,-0.1,-0.9,0.8,0.9,0.0,"(1, 2)"
22,"[(-1, -1, -1, 0), (0, -1, 1, -1)]",0,1,8,0.727272727272727,0_1,0.727272727272727,0.454545454545454,-0.727272727272727,-0.272727272727273,-0.454545454545454,0.272727272727273,0.0,"(0, 1)"
23,"[(-1, -1, -1, 0), (0, -1, 1, 0)]",1,2,13,0.722222222222222,1_2,0.055555555555556,-0.555555555555555,-0.055555555555556,-0.6111111111111109,0.555555555555555,0.6111111111111109,0.111111111111111,"(1, 2)"
24,"[(-1, -1, -1, 0), (0, -1, 1, 1)]",1,2,7,0.7,1_2,0.3,-0.39999999999999997,-0.3,-0.7,0.39999999999999997,0.7,0.0,"(1, 2)"
25,"[(-1, -1, -1, 0), (0, 0, -1, -1)]",0,1,10,0.555555555555556,0_1,0.277777777777778,0.38888888888888906,-0.277777777777778,0.11111111111111102,-0.38888888888888906,-0.11111111111111102,0.277777777777778,"(0, 1)"
26,"[(-1, -1, -1, 0), (0, 0, -1, 1)]",0,2,6,0.6,0_2,-0.3,0.19999999999999998,0.3,0.5,-0.19999999999999998,-0.5,0.6,"(0, 2)"
27,"[(-1, -1, -1, 0), (0, 0, 1, -1)]",0,1,9,0.9,0_1,0.9,0.8,-0.9,-0.1,-0.8,0.1,0.0,"(0, 1)"
28,"[(-1, -1, -1, 0), (0, 0, 1, 1)]",0,1,4,0.4,0_1,0.2,0.0,-0.2,-0.2,0.0,0.2,0.2,"(1, 2)"
29,"[(-1, -1, -1, 0), (0, 1, -1, -1)]",0,1,5,0.5,0_1,0.09999999999999998,0.4,-0.09999999999999998,0.30000000000000004,-0.4,-0.30000000000000004,0.4,"(0, 1)"
30,"[(-1, -1, -1, 0), (0, 1, -1, 0)]",0,2,6,0.545454545454545,0_2,-0.272727272727272,0.090909090909091,0.272727272727272,0.363636363636363,-0.090909090909091,-0.363636363636363,0.545454545454545,"(0, 2)"
31,"[(-1, -1, -1, 0), (0, 1, -1, 1)]",0,2,10,0.666666666666667,0_2,-0.333333333333334,0.333333333333333,0.333333333333334,0.666666666666667,-0.333333333333333,-0.666666666666667,0.666666666666667,"(0, 2)"
32,"[(-1, -1, -1, 0), (0, 1, 0, -1)]",0,1,6,0.6,0_1,0.5,0.3,-0.5,-0.19999999999999998,-0.3,0.19999999999999998,0.1,"(0, 1)"
33,"[(-1, -1, -1, 0), (0, 1, 0, 1)]",1,2,8,0.727272727272727,1_2,0.272727272727273,-0.454545454545454,-0.272727272727273,-0.727272727272727,0.454545454545454,0.727272727272727,0.0,"(1, 2)"
34,"[(-1, -1, -1, 0), (0, 1, 1, -1)]",0,1,13,0.928571428571429,0_1,0.928571428571429,0.8571428571428577,-0.928571428571429,-0.0714285714285714,-0.8571428571428577,0.0714285714285714,0.0,"(0, 1)"
35,"[(-1, -1, -1, 0), (0, 1, 1, 0)]",0,1,7,0.636363636363636,0_1,0.5454545454545451,0.36363636363636304,-0.5454545454545451,-0.1818181818181821,-0.36363636363636304,0.1818181818181821,0.0909090909090909,"(0, 1)"
36,"[(-1, -1, -1, 0), (0, 1, 1, 1)]",0,1,5,0.5,0_1,0.4,0.09999999999999998,-0.4,-0.30000000000000004,-0.09999999999999998,0.30000000000000004,0.1,"(0, 1)"
37,"[(-1, -1, -1, 0), (1, -1, -1, 0)]",0,2,5,0.5,0_2,-0.4,-0.30000000000000004,0.4,0.09999999999999998,0.30000000000000004,-0.09999999999999998,0.5,"(0, 2)"
