,effortsLeft,effortsRight,r01,r02,r12
0,"[-1,-1,-1,0]","[-1,-1,0,1]",0.36363636363636365,0.09090909090909091,0.5454545454545454
1,"[-1,-1,-1,0]","[-1,-1,1,0]",0.09090909090909091,0.09090909090909091,0.8181818181818182
2,"[-1,-1,-1,0]","[-1,0,-1,1]",0.18181818181818182,0.5454545454545454,0.2727272727272727
3,"[-1,-1,-1,0]","[-1,0,0,1]",0.0,0.0,1.0
4,"[-1,-1,-1,0]","[-1,0,1,1]",0.3333333333333333,0.08333333333333333,0.5833333333333334
5,"[-1,-1,-1,0]","[-1,1,0,0]",0.15384615384615385,0.15384615384615385,0.6923076923076923
6,"[-1,-1,-1,0]","[-1,1,1,0]",0.7,0.0,0.3
7,"[-1,-1,-1,0]","[0,-1,-1,-1]",0.7,0.3,0.0
8,"[-1,-1,-1,0]","[0,-1,0,1]",0.3333333333333333,0.0,0.6666666666666666
9,"[-1,-1,-1,0]","[0,-1,1,-1]",0.45454545454545453,0.09090909090909091,0.45454545454545453
10,"[-1,-1,-1,0]","[0,-1,1,0]",0.0,0.0,1.0
11,"[-1,-1,-1,0]","[0,-1,1,1]",0.2727272727272727,0.09090909090909091,0.6363636363636364
12,"[-1,-1,-1,0]","[0,0,-1,-1]",0.8181818181818182,0.18181818181818182,0.0
13,"[-1,-1,-1,0]","[0,0,1,1]",0.36363636363636365,0.09090909090909091,0.5454545454545454
14,"[-1,-1,-1,0]","[0,1,-1,-1]",0.3333333333333333,0.5833333333333334,0.08333333333333333
15,"[-1,-1,-1,0]","[0,1,-1,0]",0.2,0.6,0.2
16,"[-1,-1,-1,0]","[0,1,0,-1]",0.5833333333333334,0.08333333333333333,0.3333333333333333
17,"[-1,-1,-1,0]","[1,-1,-1,0]",0.07692307692307693,0.46153846153846156,0.46153846153846156
18,"[-1,-1,-1,0]","[1,-1,0,-1]",0.4,0.2,0.4
19,"[-1,-1,-1,0]","[1,-1,0,0]",0.1,0.0,0.9
20,"[-1,-1,-1,0]","[1,0,-1,-1]",0.45454545454545453,0.45454545454545453,0.09090909090909091
21,"[-1,-1,-1,0]","[1,0,-1,0]",0.0,0.5,0.5
22,"[-1,-1,-1,0]","[1,0,-1,1]",0.3333333333333333,0.5833333333333334,0.08333333333333333
23,"[-1,-1,-1,0]","[1,0,0,-1]",0.5833333333333334,0.0,0.4166666666666667
24,"[-1,-1,-1,0]","[1,0,1,0]",0.4,0.0,0.6
25,"[-1,-1,-1,0]","[1,1,0,-1]",0.6363636363636364,0.09090909090909091,0.2727272727272727
26,"[-1,-1,-1,0]","[1,1,0,1]",0.25,0.0,0.75
27,"[-1,-1,0,-1]","[-1,-1,-1,0]",0.5,0.2,0.3
28,"[-1,-1,0,-1]","[-1,-1,0,1]",0.08333333333333333,0.16666666666666666,0.75
29,"[-1,-1,0,-1]","[-1,0,-1,1]",0.2727272727272727,0.0,0.7272727272727273
30,"[-1,-1,0,-1]","[-1,0,0,-1]",0.18181818181818182,0.6363636363636364,0.18181818181818182
31,"[-1,-1,0,-1]","[-1,0,1,1]",0.3,0.1,0.6
32,"[-1,-1,0,-1]","[-1,1,-1,0]",0.5454545454545454,0.09090909090909091,0.36363636363636365
33,"[-1,-1,0,-1]","[-1,1,0,0]",0.1,0.3,0.6
34,"[-1,-1,0,-1]","[-1,1,0,1]",0.2,0.0,0.8
35,"[-1,-1,0,-1]","[-1,1,1,0]",0.5,0.3,0.2
36,"[-1,-1,0,-1]","[0,-1,-1,-1]",0.5833333333333334,0.4166666666666667,0.0
37,"[-1,-1,0,-1]","[0,-1,-1,0]",0.6153846153846154,0.15384615384615385,0.23076923076923078
38,"[-1,-1,0,-1]","[0,-1,-1,1]",0.45454545454545453,0.0,0.5454545454545454
39,"[-1,-1,0,-1]","[0,-1,0,-1]",0.3333333333333333,0.5,0.16666666666666666
40,"[-1,-1,0,-1]","[0,-1,1,-1]",0.46153846153846156,0.5384615384615384,0.0
41,"[-1,-1,0,-1]","[0,-1,1,1]",0.2,0.2,0.6
42,"[-1,-1,0,-1]","[0,0,-1,-1]",0.5454545454545454,0.36363636363636365,0.09090909090909091
43,"[-1,-1,0,-1]","[0,0,-1,1]",0.6363636363636364,0.0,0.36363636363636365
44,"[-1,-1,0,-1]","[0,0,1,-1]",0.45454545454545453,0.36363636363636365,0.18181818181818182
45,"[-1,-1,0,-1]","[0,0,1,1]",0.5,0.1,0.4
46,"[-1,-1,0,-1]","[0,1,-1,0]",0.4,0.1,0.5
