,effortsLeft,effortsRight,r01,r02,r12
0,"[-1,-1,-1,0]","[-1,-1,0,1]",0.3,0.3,0.4
1,"[-1,-1,-1,0]","[-1,-1,1,0]",0.18181818181818182,0.0,0.8181818181818182
2,"[-1,-1,-1,0]","[-1,0,-1,1]",0.0,0.8181818181818182,0.18181818181818182
3,"[-1,-1,-1,0]","[-1,0,0,1]",0.0,0.4,0.6
4,"[-1,-1,-1,0]","[-1,0,1,1]",0.4444444444444444,0.1111111111111111,0.4444444444444444
5,"[-1,-1,-1,0]","[-1,1,0,0]",0.2,0.0,0.8
6,"[-1,-1,-1,0]","[-1,1,1,0]",0.4,0.1,0.5
7,"[-1,-1,-1,0]","[0,-1,-1,-1]",0.7,0.2,0.1
8,"[-1,-1,-1,0]","[0,-1,0,1]",0.1,0.0,0.9
9,"[-1,-1,-1,0]","[0,-1,1,-1]",0.7272727272727273,0.0,0.2727272727272727
10,"[-1,-1,-1,0]","[0,-1,1,0]",0.16666666666666666,0.1111111111111111,0.7222222222222222
11,"[-1,-1,-1,0]","[0,-1,1,1]",0.3,0.0,0.7
12,"[-1,-1,-1,0]","[0,0,-1,-1]",0.5555555555555556,0.2777777777777778,0.16666666666666666
13,"[-1,-1,-1,0]","[0,0,1,1]",0.4,0.2,0.4
14,"[-1,-1,-1,0]","[0,1,-1,-1]",0.5,0.4,0.1
15,"[-1,-1,-1,0]","[0,1,-1,0]",0.2727272727272727,0.5454545454545454,0.18181818181818182
16,"[-1,-1,-1,0]","[0,1,0,-1]",0.6,0.1,0.3
17,"[-1,-1,-1,0]","[1,-1,-1,0]",0.1,0.5,0.4
18,"[-1,-1,-1,0]","[1,-1,0,-1]",0.6,0.1,0.3
19,"[-1,-1,-1,0]","[1,-1,0,0]",0.0,0.1,0.9
20,"[-1,-1,-1,0]","[1,0,-1,-1]",0.4375,0.3125,0.25
21,"[-1,-1,-1,0]","[1,0,-1,0]",0.0,0.6,0.4
22,"[-1,-1,-1,0]","[1,0,-1,1]",0.3,0.4,0.3
23,"[-1,-1,-1,0]","[1,0,0,-1]",0.5833333333333334,0.08333333333333333,0.3333333333333333
24,"[-1,-1,-1,0]","[1,0,1,0]",0.35714285714285715,0.21428571428571427,0.42857142857142855
25,"[-1,-1,-1,0]","[1,1,0,-1]",0.5,0.1,0.4
26,"[-1,-1,-1,0]","[1,1,0,1]",0.2777777777777778,0.1111111111111111,0.6111111111111112
27,"[-1,-1,0,-1]","[-1,-1,-1,0]",0.4,0.1,0.5
28,"[-1,-1,0,-1]","[-1,-1,0,1]",0.2,0.1,0.7
29,"[-1,-1,0,-1]","[-1,0,-1,1]",0.09090909090909091,0.09090909090909091,0.8181818181818182
30,"[-1,-1,0,-1]","[-1,0,0,-1]",0.08333333333333333,0.25,0.6666666666666666
31,"[-1,-1,0,-1]","[-1,0,1,1]",0.3,0.1,0.6
32,"[-1,-1,0,-1]","[-1,1,-1,0]",0.18181818181818182,0.36363636363636365,0.45454545454545453
33,"[-1,-1,0,-1]","[-1,1,0,0]",0.2,0.3,0.5
34,"[-1,-1,0,-1]","[-1,1,0,1]",0.05555555555555555,0.16666666666666666,0.7777777777777778
35,"[-1,-1,0,-1]","[-1,1,1,0]",0.45454545454545453,0.09090909090909091,0.45454545454545453
36,"[-1,-1,0,-1]","[0,-1,-1,-1]",0.16666666666666666,0.6666666666666666,0.16666666666666666
37,"[-1,-1,0,-1]","[0,-1,-1,0]",0.23076923076923078,0.07692307692307693,0.6923076923076923
38,"[-1,-1,0,-1]","[0,-1,-1,1]",0.2,0.2,0.6
39,"[-1,-1,0,-1]","[0,-1,0,-1]",0.0,0.9,0.1
40,"[-1,-1,0,-1]","[0,-1,1,-1]",0.2,0.6,0.2
41,"[-1,-1,0,-1]","[0,-1,1,1]",0.2,0.2,0.6
42,"[-1,-1,0,-1]","[0,0,-1,-1]",0.25,0.4375,0.3125
43,"[-1,-1,0,-1]","[0,0,-1,1]",0.5,0.1,0.4
44,"[-1,-1,0,-1]","[0,0,1,-1]",0.09090909090909091,0.5454545454545454,0.36363636363636365
45,"[-1,-1,0,-1]","[0,0,1,1]",0.36363636363636365,0.0,0.6363636363636364
46,"[-1,-1,0,-1]","[0,1,-1,0]",0.5,0.3,0.2
47,"[-1,-1,0,-1]","[0,1,0,-1]",0.2,0.7,0.1
48,"[-1,-1,0,-1]","[0,1,0,1]",0.09090909090909091,0.09090909090909091,0.8181818181818182
