,effortsLeft,effortsRight,r01,r02,r12
0,"[-1,-1,-1,0]","[-1,-1,0,1]",0.2,0.2,0.6
1,"[-1,-1,-1,0]","[-1,-1,1,0]",0.7,0.2,0.1
2,"[-1,-1,-1,0]","[-1,0,-1,1]",0.4166666666666667,0.5833333333333334,0.0
3,"[-1,-1,-1,0]","[-1,0,0,1]",0.3,0.1,0.6
4,"[-1,-1,-1,0]","[-1,0,1,1]",0.5384615384615384,0.15384615384615385,0.3076923076923077
5,"[-1,-1,-1,0]","[-1,1,0,0]",0.4,0.0,0.6
6,"[-1,-1,-1,0]","[-1,1,1,0]",0.6,0.2,0.2
7,"[-1,-1,-1,0]","[0,-1,-1,-1]",0.38461538461538464,0.3076923076923077,0.3076923076923077
8,"[-1,-1,-1,0]","[0,-1,0,1]",0.3333333333333333,0.13333333333333333,0.5333333333333333
9,"[-1,-1,-1,0]","[0,-1,1,-1]",0.8,0.1,0.1
10,"[-1,-1,-1,0]","[0,-1,1,0]",0.5,0.0,0.5
11,"[-1,-1,-1,0]","[0,-1,1,1]",0.4,0.0,0.6
12,"[-1,-1,-1,0]","[0,0,-1,-1]",0.7,0.2,0.1
13,"[-1,-1,-1,0]","[0,0,1,1]",0.3,0.5,0.2
14,"[-1,-1,-1,0]","[0,1,-1,-1]",0.7,0.3,0.0
15,"[-1,-1,-1,0]","[0,1,-1,0]",0.3076923076923077,0.3076923076923077,0.38461538461538464
16,"[-1,-1,-1,0]","[0,1,0,-1]",0.9230769230769231,0.0,0.07692307692307693
17,"[-1,-1,-1,0]","[1,-1,-1,0]",0.4,0.5,0.1
18,"[-1,-1,-1,0]","[1,-1,0,-1]",0.7272727272727273,0.0,0.2727272727272727
19,"[-1,-1,-1,0]","[1,-1,0,0]",0.36363636363636365,0.09090909090909091,0.5454545454545454
20,"[-1,-1,-1,0]","[1,0,-1,-1]",0.6470588235294118,0.17647058823529413,0.17647058823529413
21,"[-1,-1,-1,0]","[1,0,-1,0]",0.3,0.5,0.2
22,"[-1,-1,-1,0]","[1,0,-1,1]",0.5,0.5,0.0
23,"[-1,-1,-1,0]","[1,0,0,-1]",0.5,0.1,0.4
24,"[-1,-1,-1,0]","[1,0,1,0]",0.38461538461538464,0.15384615384615385,0.46153846153846156
25,"[-1,-1,-1,0]","[1,1,0,-1]",0.5833333333333334,0.16666666666666666,0.25
26,"[-1,-1,-1,0]","[1,1,0,1]",0.23076923076923078,0.15384615384615385,0.6153846153846154
27,"[-1,-1,0,-1]","[-1,-1,-1,0]",0.36363636363636365,0.0,0.6363636363636364
28,"[-1,-1,0,-1]","[-1,-1,0,1]",0.3,0.1,0.6
29,"[-1,-1,0,-1]","[-1,0,-1,1]",0.5833333333333334,0.16666666666666666,0.25
30,"[-1,-1,0,-1]","[-1,0,0,-1]",0.36363636363636365,0.36363636363636365,0.2727272727272727
31,"[-1,-1,0,-1]","[-1,0,1,1]",0.45454545454545453,0.09090909090909091,0.45454545454545453
32,"[-1,-1,0,-1]","[-1,1,-1,0]",0.5454545454545454,0.18181818181818182,0.2727272727272727
33,"[-1,-1,0,-1]","[-1,1,0,0]",0.3,0.2,0.5
34,"[-1,-1,0,-1]","[-1,1,0,1]",0.3076923076923077,0.07692307692307693,0.6153846153846154
35,"[-1,-1,0,-1]","[-1,1,1,0]",0.09090909090909091,0.36363636363636365,0.5454545454545454
36,"[-1,-1,0,-1]","[0,-1,-1,-1]",0.2727272727272727,0.45454545454545453,0.2727272727272727
37,"[-1,-1,0,-1]","[0,-1,-1,0]",0.3333333333333333,0.08333333333333333,0.5833333333333334
38,"[-1,-1,0,-1]","[0,-1,-1,1]",0.6363636363636364,0.0,0.36363636363636365
39,"[-1,-1,0,-1]","[0,-1,0,-1]",0.26666666666666666,0.5333333333333333,0.2
40,"[-1,-1,0,-1]","[0,-1,1,-1]",0.3,0.6,0.1
41,"[-1,-1,0,-1]","[0,-1,1,1]",0.5,0.0,0.5
