timestamp,id,hitId,qInd,effortsLeft,effortsRight,selected0,selected1
"2023-11-14 21:02:05",A101U3FTZYY87V,24,0,"[0,-1,1,1]","[0,-1,-1,0]",1,2
"2023-11-14 21:02:12",A101U3FTZYY87V,24,1,"[1,-1,0,1]","[-1,-1,-1,0]",0,1
"2023-11-14 21:02:21",A101U3FTZYY87V,24,2,"[0,1,-1,1]","[-1,0,1,1]",0,1
"2023-11-14 21:02:31",A101U3FTZYY87V,24,3,"[0,-1,1,0]","[1,1,-1,0]",1,2
"2023-11-14 21:02:35",A101U3FTZYY87V,24,4,"[1,-1,0,0]","[0,0,1,1]",0,1
"2023-11-14 21:02:39",A101U3FTZYY87V,24,5,"[-1,-1,1,0]","[1,1,1,0]",0,2
"2023-11-14 21:02:50",A101U3FTZYY87V,24,6,"[0,-1,0,-1]","[1,0,1,0]",1,2
"2023-11-14 21:03:01",A101U3FTZYY87V,24,7,"[-1,0,-1,1]","[-1,-1,0,0]",1,2
"2023-11-14 21:03:12",A101U3FTZYY87V,24,8,"[0,-1,0,1]","[-1,0,-1,0]",0,1
"2023-11-14 21:03:38",A101U3FTZYY87V,24,9,"[1,-1,0,1]","[-1,0,-1,1]",1,2
"2023-11-14 21:03:43",A101U3FTZYY87V,24,10,"[0,1,0,-1]","[0,1,-1,-1]",0,2
"2023-11-14 21:03:57",A101U3FTZYY87V,24,11,"[0,1,-1,1]","[-1,-1,0,1]",0,2
"2023-11-14 21:04:11",A101U3FTZYY87V,24,12,"[0,0,1,1]","[1,-1,1,0]",0,2
"2023-11-14 21:04:34",A101U3FTZYY87V,24,13,"[-1,0,1,-1]","[0,1,1,1]",0,2
"2023-11-15 14:59:12",A10A7EZUXBD0II,48,0,"[-1,-1,0,1]","[-1,1,0,-1]",0,1
"2023-11-15 14:59:22",A10A7EZUXBD0II,48,1,"[1,0,1,0]","[-1,1,1,0]",0,1
"2023-11-15 14:59:28",A10A7EZUXBD0II,48,2,"[1,-1,-1,0]","[1,1,0,0]",1,2
"2023-11-15 14:59:35",A10A7EZUXBD0II,48,3,"[-1,-1,0,1]","[1,-1,1,0]",0,1
"2023-11-15 14:59:47",A10A7EZUXBD0II,48,4,"[1,0,1,1]","[-1,-1,0,1]",1,2
"2023-11-15 14:59:53",A10A7EZUXBD0II,48,5,"[0,1,1,-1]","[0,1,1,1]",1,2
"2023-11-15 15:00:01",A10A7EZUXBD0II,48,6,"[1,0,-1,0]","[-1,0,-1,1]",0,2
"2023-11-15 15:00:09",A10A7EZUXBD0II,48,7,"[0,-1,-1,0]","[-1,-1,-1,0]",0,2
"2023-11-15 15:00:23",A10A7EZUXBD0II,48,8,"[-1,0,1,-1]","[-1,0,1,0]",1,2
"2023-11-15 15:00:29",A10A7EZUXBD0II,48,9,"[1,-1,1,0]","[1,1,1,0]",0,2
"2023-11-15 15:00:40",A10A7EZUXBD0II,48,10,"[1,0,1,0]","[0,1,1,0]",1,2
"2023-11-15 15:00:46",A10A7EZUXBD0II,48,11,"[-1,1,1,0]","[1,0,-1,-1]",1,2
"2023-11-15 15:00:52",A10A7EZUXBD0II,48,12,"[0,-1,0,1]","[0,1,1,0]",1,2
"2023-11-15 15:01:00",A10A7EZUXBD0II,48,13,"[1,0,-1,1]","[1,-1,-1,0]",0,2
"2023-11-16 00:57:29",A10MZ295BEPUAG,6,0,"[1,0,1,0]","[0,0,-1,1]",0,1
"2023-11-16 00:57:41",A10MZ295BEPUAG,6,1,"[1,-1,-1,0]","[1,-1,0,0]",1,2
"2023-11-16 00:58:00",A10MZ295BEPUAG,6,2,"[1,1,1,0]","[0,-1,-1,-1]",0,1
"2023-11-16 00:58:16",A10MZ295BEPUAG,6,3,"[-1,0,-1,0]","[1,1,-1,0]",0,2
"2023-11-16 00:58:47",A10MZ295BEPUAG,6,4,"[0,0,-1,-1]","[-1,0,-1,1]",0,1
"2023-11-16 00:58:59",A10MZ295BEPUAG,6,5,"[-1,1,0,1]","[1,0,0,1]",1,2
"2023-11-16 00:59:18",A10MZ295BEPUAG,6,6,"[1,0,1,1]","[-1,0,0,1]",1,2
"2023-11-16 00:59:37",A10MZ295BEPUAG,6,7,"[-1,0,-1,0]","[1,-1,1,0]",1,2
"2023-11-16 00:59:46",A10MZ295BEPUAG,6,8,"[1,-1,0,1]","[0,0,1,-1]",0,1
"2023-11-16 01:00:06",A10MZ295BEPUAG,6,9,"[-1,0,1,1]","[0,1,1,0]",1,2
