2025-03-25 17:36:18,264 [DEBUG   ] 85527 4341384576 pyplot: Loaded backend MacOSX version unknown.
2025-03-25 17:36:39,088 [DEBUG   ] 86279 4342629760 pyplot: Loaded backend MacOSX version unknown.
2025-03-25 17:38:08,428 [DEBUG   ] 87853 4340139392 pyplot: Loaded backend MacOSX version unknown.
2025-03-25 17:41:16,614 [DEBUG   ] 91599 4378215808 pyplot: Loaded backend MacOSX version unknown.
2025-03-25 17:44:44,046 [DEBUG   ] 96137 4310959488 pyplot: Loaded backend MacOSX version unknown.
2025-03-25 17:47:19,501 [DEBUG   ] 99402 4336223616 pyplot: Loaded backend MacOSX version unknown.
2025-03-25 17:47:21,420 [DEBUG   ] 99402 4336223616 font_manager: findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2025-03-25 17:47:21,421 [DEBUG   ] 99402 4336223616 font_manager: findfont: score(FontEntry(fname='/Users/bendiksen/miniconda3/envs/motion-similarity/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-25 17:47:21,421 [DEBUG   ] 99402 4336223616 font_manager: findfont: score(FontEntry(fname='/Users/bendiksen/miniconda3/envs/motion-similarity/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-03-25 17:47:21,421 [DEBUG   ] 99402 4336223616 font_manager: findfont: score(FontEntry(fname='/Users/bendiksen/miniconda3/envs/motion-similarity/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2025-03-25 17:47:21,421 [DEBUG   ] 99402 4336223616 font_manager: findfont: score(FontEntry(fname='/Users/bendiksen/miniconda3/envs/motion-similarity/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-03-25 17:47:21,421 [DEBUG   ] 99402 4336223616 font_manager: findfont: score(FontEntry(fname='/Users/bendiksen/miniconda3/envs/motion-similarity/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
