,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_2,alpha_2_0,alpha_0_1,alpha_2_1,alpha_1_0,alpha_1_2,direct_comparison_value
0,"[(-1, -1, -1, 0), (-1, -1, 0, -1)]",1,2,5,0.5,1_2,0.0,0.0,0.0,0.3,0.0,0.2,0.2
1,"[(-1, -1, -1, 0), (-1, -1, 0, 0)]",1,2,10,0.833333333333333,1_2,0.0,0.0,0.0,0.833333333333333,0.0,0.6666666666666661,0.0
2,"[(-1, -1, -1, 0), (-1, -1, 0, 1)]",1,2,6,0.545454545454545,1_2,0.0,0.0,0.0,0.4545454545454541,0.0,0.181818181818181,0.0909090909090909
3,"[(-1, -1, -1, 0), (-1, -1, 1, 0)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.7272727272727271,0.0,0.7272727272727271,0.0909090909090909
4,"[(-1, -1, -1, 0), (-1, 0, -1, -1)]",0,2,4,0.4,0_2,0.2,0.0,0.0,0.0,0.0,0.0,0.4
5,"[(-1, -1, -1, 0), (-1, 0, -1, 0)]",1,2,5,0.454545454545455,1_2,0.0,0.0,0.0,0.090909090909091,0.0,0.272727272727273,0.363636363636364
6,"[(-1, -1, -1, 0), (-1, 0, -1, 1)]",0,2,6,0.545454545454545,0_2,0.363636363636363,0.272727272727272,0.0,0.0,0.0,0.0,0.545454545454545
7,"[(-1, -1, -1, 0), (-1, 0, 0, -1)]",0,1,6,0.6,0_1,0.0,0.0,0.5,0.0,0.3,0.0,0.1
8,"[(-1, -1, -1, 0), (-1, 0, 0, 1)]",1,2,11,1.0,1_2,0.0,0.0,0.0,1.0,0.0,1.0,0.0
9,"[(-1, -1, -1, 0), (-1, 0, 1, -1)]",0,1,5,0.454545454545455,0_1,0.0,0.0,0.3636363636363641,0.0,0.0,0.0,0.0909090909090909
10,"[(-1, -1, -1, 0), (-1, 0, 1, 0)]",0,2,5,0.454545454545455,0_2,0.3636363636363641,0.0,0.0,0.0,0.0,0.0,0.454545454545455
11,"[(-1, -1, -1, 0), (-1, 0, 1, 1)]",1,2,7,0.583333333333333,1_2,0.0,0.0,0.0,0.4999999999999997,0.0,0.25000000000000006,0.0833333333333333
12,"[(-1, -1, -1, 0), (-1, 1, -1, 0)]",0,2,8,0.727272727272727,0_2,0.545454545454545,0.636363636363636,0.0,0.0,0.0,0.0,0.727272727272727
13,"[(-1, -1, -1, 0), (-1, 1, 0, -1)]",0,1,4,0.4,0_1,0.0,0.0,0.2,0.0,0.0,0.0,0.2
14,"[(-1, -1, -1, 0), (-1, 1, 0, 0)]",1,2,9,0.692307692307692,1_2,0.0,0.0,0.0,0.538461538461538,0.0,0.538461538461538,0.153846153846154
15,"[(-1, -1, -1, 0), (-1, 1, 0, 1)]",1,2,6,0.545454545454545,1_2,0.0,0.0,0.0,0.545454545454545,0.0,0.09090909090909,0.0
16,"[(-1, -1, -1, 0), (-1, 1, 1, 0)]",0,1,7,0.7,0_1,0.0,0.0,0.7,0.0,0.39999999999999997,0.0,0.0
17,"[(-1, -1, -1, 0), (0, -1, -1, -1)]",0,1,7,0.7,0_1,0.0,0.0,0.39999999999999997,0.0,0.7,0.0,0.3
18,"[(-1, -1, -1, 0), (0, -1, -1, 0)]",0,2,7,0.7,0_2,0.49999999999999994,0.6,0.0,0.0,0.0,0.0,0.7
19,"[(-1, -1, -1, 0), (0, -1, -1, 1)]",0,2,6,0.545454545454545,0_2,0.272727272727272,0.363636363636363,0.0,0.0,0.0,0.0,0.545454545454545
20,"[(-1, -1, -1, 0), (0, -1, 0, -1)]",0,1,4,0.4,0_1,0.0,0.0,0.0,0.0,0.2,0.0,0.4
21,"[(-1, -1, -1, 0), (0, -1, 0, 1)]",1,2,8,0.666666666666667,1_2,0.0,0.0,0.0,0.666666666666667,0.0,0.333333333333334,0.0
22,"[(-1, -1, -1, 0), (0, -1, 1, -1)]",0,1,5,0.454545454545455,0_1,0.0,0.0,0.3636363636363641,0.0,0.0,0.0,0.0909090909090909
23,"[(-1, -1, -1, 0), (0, -1, 1, 0)]",1,2,10,1.0,1_2,0.0,0.0,0.0,1.0,0.0,1.0,0.0
24,"[(-1, -1, -1, 0), (0, -1, 1, 1)]",1,2,7,0.636363636363636,1_2,0.0,0.0,0.0,0.5454545454545451,0.0,0.36363636363636304,0.0909090909090909
25,"[(-1, -1, -1, 0), (0, 0, -1, -1)]",0,1,9,0.818181818181818,0_1,0.0,0.0,0.636363636363636,0.0,0.818181818181818,0.0,0.181818181818182
26,"[(-1, -1, -1, 0), (0, 0, -1, 1)]",0,2,8,0.666666666666667,0_2,0.5,0.5,0.0,0.0,0.0,0.0,0.666666666666667
27,"[(-1, -1, -1, 0), (0, 0, 1, -1)]",0,1,6,0.6,0_1,0.0,0.0,0.5,0.0,0.3,0.0,0.1
28,"[(-1, -1, -1, 0), (0, 0, 1, 1)]",1,2,6,0.545454545454545,1_2,0.0,0.0,0.0,0.4545454545454541,0.0,0.181818181818181,0.0909090909090909
29,"[(-1, -1, -1, 0), (0, 1, -1, -1)]",0,2,7,0.583333333333333,0_2,0.25000000000000006,0.4999999999999997,0.0,0.0,0.0,0.0,0.583333333333333
30,"[(-1, -1, -1, 0), (0, 1, -1, 0)]",0,2,6,0.6,0_2,0.39999999999999997,0.39999999999999997,0.0,0.0,0.0,0.0,0.6
31,"[(-1, -1, -1, 0), (0, 1, -1, 1)]",0,2,6,0.545454545454545,0_2,0.272727272727272,0.363636363636363,0.0,0.0,0.0,0.0,0.545454545454545
32,"[(-1, -1, -1, 0), (0, 1, 0, -1)]",0,1,7,0.583333333333333,0_1,0.0,0.0,0.4999999999999997,0.0,0.25000000000000006,0.0,0.0833333333333333
